0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_chat/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_chat/lodash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_chat/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:13 +0530] "GET /CollaborationFrontEndJava/v_user/frmLogin.html HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:13 +0530] "GET /CollaborationFrontEndJava/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:13 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423173989 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:13 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationFrontEndJava/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:14 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
